Drug Name | Rating | Number of Reviews | Availability | Drug Classes | Primary Use
Xenical  | 8.3  | 116  | Prescription only  | Peripherally acting antiobesity agents  | weight loss
Xgeva  | 6.1  | 8  | Prescription only  | Miscellaneous bone resorption inhibitors  | multiple myeloma
Xiaflex  | 2.9  | 91  | Prescription only  | Miscellaneous uncategorized agents  | Dupuytren's contracture
Xifaxan  | 6.3  | 90  | Prescription only  | Miscellaneous antibiotics  | irritable bowel syndrome
Xigduo XR  | 7.2  | 16  | Prescription only  | Antidiabetic combinations  | type 2 diabetes mellitus
Xofluza  | 7.5  | 24  | Prescription only  | Miscellaneous antivirals  | influenza virus
Xolair  | 7.5  | 192  | Prescription only  | Selective immunosuppressants  | asthma
Xopenex  | 8.9  | 15  | Prescription only  | Adrenergic bronchodilators  | bronchospasm
Xtandi  | 5.1  | 17  | Prescription only  | Antiandrogens  | prostate cancer
Xyrem  | 7.6  | 107  | Prescription only  | Miscellaneous anxiolytics, sedatives and hypnotics  | narcolepsy
Xywav  | 7.0  | 9  | Prescription only  | Miscellaneous anxiolytics, sedatives and hypnotics  | narcolepsy
Xyzal  | 5.4  | 281  | Prescription only  | Antihistamines  | runny nose
Yasmin  | 5.2  | 586  | Prescription only  | Contraceptives  | contraception
Yaz  | 5.9  | 945  | Prescription only  | Contraceptives  | contraception
Zaditor  | 5.9  | 8  | Over the counter  | Ophthalmic antihistamines and decongestants  | runny nose
Zaleplon  | 5.3  | 134  | Prescription only  | Miscellaneous anxiolytics, sedatives and hypnotics  | insomnia
Zantac  | 7.6  | 83  | Discontinued  | H2 antagonists  | gastroesophageal reflux disease (GERD)
Zenpep  | 7.3  | 11  | Prescription only  | Digestive enzymes  | inflammation of the pancreas
Zenzedi  | 8.3  | 28  | Prescription only  | CNS stimulants  | nerves
Zestril  | 6.7  | 12  | Prescription only  | Angiotensin Converting Enzyme Inhibitors  | high blood pressure
Zetia  | 4.3  | 66  | Prescription only  | Cholesterol absorption inhibitors  | high cholesterol
Ziprasidone  | 5.6  | 460  | Prescription only  | Atypical antipsychotics  | schizophrenia
Zocor  | 5.0  | 22  | Prescription only  | Statins  | cholesterol
Zofran  | 8.0  | 258  | Prescription only  | 5HT3 receptor antagonists  | chemotherapy
Zofran ODT  | 7.3  | 56  | Prescription only  | 5HT3 receptor antagonists  | nausea
Zoladex  | 6.7  | 90  | Prescription only  | Gonadotropin releasing hormones  | prostate cancer
Zoledronic acid  | 4.8  | 337  | Prescription only  | Bisphosphonates  | osteoporosis
Zolmitriptan  | 7.5  | 158  | Prescription only  | Antimigraine agents  | headache
Zolpidem  | 6.9  | 1022  | Prescription only  | Miscellaneous anxiolytics, sedatives and hypnotics  | insomnia
Zometa  | 4.5  | 41  | Prescription only  | Bisphosphonates  | hypercalcemia
Zomig  | 7.0  | 96  | Prescription only  | Antimigraine agents  | migraine
Zonegran  | 6.6  | 65  | Prescription only  | Carbonic anhydrase inhibitor anticonvulsants  | partial seizures
Zonisamide  | 5.5  | 140  | Prescription only  | Carbonic anhydrase inhibitor anticonvulsants  | seizures
Zovirax  | 8.2  | 17  | Prescription only  | Purine nucleosides  | cold sores
Zubsolv  | 7.3  | 120  | Prescription only  | Narcotic analgesic combinations  | opioid addiction
Zyprexa  | 5.8  | 390  | Prescription only  | Atypical antipsychotics  | schizophrenia
Zyrtec  | 5.8  | 195  | Rx and/or OTC  | Antihistamines  | runny nose
Zytiga  | 8.5  | 37  | Prescription only  | Miscellaneous antineoplastics  | prostate cancer
Zyvox  | 8.8  | 27  | Prescription only  | Oxazolidinone antibiotics  | pneumonia
5-HTP  | 6.5  | 149  | Over the counter  | Herbal products  | depression
5-hydroxytryptophan  | 6.4  | 185  | Over the counter  | Herbal products  | depression
